id,combo,source NP,premise,hypothesis,label
69,pri-sub,a dubious moral justification,This is a dubious moral justification.,This is a dubious justification.,entailment
70,int-sub,Australian junior players,They are Australian junior players.,They are players.,entailment
71,sub-int,a small black pig,It is a small black pig.,It is a black pig.,entailment
72,pri-sub,a broken presidential promise,This is a broken presidential promise.,This is a broken promise.,entailment
73,sub-int,an attractive blond woman,She is an attractive blond woman.,She is a woman.,entailment
74,sub-pri,numerous broken bones,He has numerous broken bones.,He has numerous bones.,entailment
75,pri-pri,a possible incorrect pilot reaction,This is a possible incorrect pilot reaction.,This is a possible pilot reaction.,entailment
76,sub-pri,a national anti-terror military drill,This is a national anti-terror military drill.,This is an anti-terror military drill.,entailment
77,pri-sub,a partial federal shutdown,This is a partial federal shutdown.,This is a partial shutdown.,entailment
78,sub-pri,many unlikely coincidences,These are many unlikely coincidences.,These are unlikely coincidences.,entailment
79,sub-sub,a new regional contract,This is a new regional contract.,This is a contract.,entailment
80,sub-pri,a big stone lion,This is a big stone lion.,This is a stone lion.,entailment
81,int-int,original American stage plays,Those are original American stage plays.,Those are original stage plays.,entailment
82,sub-sub,an expensive new stadium,This is an expensive new stadium.,This is a new stadium.,entailment
83,pri-pri,a faulty artificial joint,This is a faulty artificial joint.,This is an artificial joint.,entailment
84,sub-int,a deep blue ocean,This is a deep blue ocean.,This is an ocean.,entailment
85,sub-int,a top environmental concern,This is a top environmental concern.,This is a concern.,entailment
86,sub-int,the current American government,This is the current American government.,This is the American government.,entailment
87,sub-int,a bad American showman,This is a bad American showman.,This is a showman.,entailment
88,sub-int,regular married folks,They are regular married folks.,They are folks.,entailment
89,pri-sub,a fictional small island,This is a fictional small island.,This is a fictional island.,entailment
90,pri-sub,a retired prominent basketball player,This is a retired prominent basketball player.,This is a retired basketball player.,entailment
91,sub-int,a dangerous dead animal,This is a dangerous dead animal.,This is an animal.,entailment
92,pri-sub,probable technical difficulties,These are probable technical difficulties.,These are probable difficulties.,entailment
93,pri-sub,an apparent third straight defeat,This is an apparent third straight defeat.,This is an apparent straight defeat.,entailment
94,sub-sub,the only professional instruction,This is the only professional instruction.,This is professional instruction.,entailment
95,sub-int,a late morning flight,This is a late morning flight.,This is a flight.,entailment
96,sub-pri,a fierce mock debate,This is a fierce mock debate.,This is a mock debate.,entailment
97,sub-pri,numerous false rumors,These are numerous false rumors.,These are false rumors.,entailment
98,sub-sub,a beautiful young woman,She is a beautiful young woman.,She is a young woman.,entailment
99,int-sub,a Swedish technical skier,He is a Swedish technical skier.,He is a skier.,entailment
100,sub-sub,a top secondary school,This is a top secondary school.,This is a top school.,entailment
101,sub-int,a tall 12-year-old child,He is a tall 12-year-old child.,He is a tall child.,entailment
102,pri-sub,an unofficial early result,This is an unofficial early result.,This is an unofficial result.,entailment
103,pri-sub,Germany's next top star,He is Germany's next top star.,He is Germany's next star.,entailment
104,sub-int,a plain American student,She is a plain American student.,She is a student.,entailment
105,sub-pri,maximum six-week temporary layoffs,These are maximum six-week temporary layoffs.,These are maximum six-week layoffs.,entailment
106,sub-sub,grand old firms,Those are grand old firms.,Those are grand firms.,entailment
107,pri-pri,imminent potential reactions,These are imminent potential reactions.,These are potential reactions.,entailment
108,int-sub,a flat second quarter,This is a flat second quarter.,This is a flat quarter.,entailment
109,sub-sub,the only big losers,They are the only big losers.,They are losers.,entailment
110,sub-int,top Mexican teams,These are top Mexican teams.,These are teams.,entailment
111,pri-pri,alleged suspicious transactions,These are alleged suspicious transactions.,These are alleged transactions.,entailment
112,pri-sub,impossible good luck,This is impossible good luck.,This is good luck.,entailment
113,sub-int,a heavy newborn baby,She is a heavy newborn baby.,She is a newborn baby.,entailment
114,sub-pri,the first proposed bid,This is the first proposed bid.,This is a proposed bid.,entailment
115,sub-sub,its second recent arbitration case,This is its second recent arbitration case.,This is an arbitration case.,entailment
116,sub-pri,a national historic treasure,This is a national historic treasure.,This is a historic treasure.,entailment
117,pri-pri,a new artificial rubber turf,This is a new artificial rubber turf.,This is a new rubber turf.,entailment
118,sub-sub,a powerful new microprocessor chip,This is a powerful new microprocessor chip.,This is a powerful microprocessor chip.,entailment
119,int-pri,a South African paper company,This is a South African paper company.,This is a South African company.,entailment
120,pri-sub,a presumed early rebel target,He is a presumed early rebel target.,He is a presumed rebel target.,entailment
121,pri-sub,vice presidential short lists,These are vice presidential short lists.,These are short lists.,entailment
122,sub-int,the company's only real problem,This is the company's only real problem.,This is the company's problem.,entailment
123,sub-int,a small gray elephant,It is a small gray elephant.,It is an elephant.,entailment
124,sub-int,bad Israeli singers,They are bad Israeli singers.,They are Israeli singers.,entailment
125,pri-sub,previous similar findings,Those are previous similar findings.,Those are similar findings.,entailment
126,sub-int,a chief online rival,He is a chief online rival.,He is a rival.,entailment
127,int-sub,a Swedish technical skier,He is a Swedish technical skier.,He is a skier.,entailment
128,sub-int,a big black ant,It is a big black ant.,It is a black ant.,entailment
129,sub-pri,a high expected return,This is a high expected return.,This is an expected return.,entailment
130,pri-sub,a broken soft drink bottle,This is a broken soft drink bottle.,This is a soft drink bottle.,entailment
131,sub-pri,a maximum theoretical speed,This is a maximum theoretical speed.,This is a speed.,entailment
132,pri-sub,past official targets,These are past official targets.,These are past targets.,entailment
133,pri-sub,predicted fast economic growth,This is predicted fast economic growth.,This is predicted economic growth.,entailment
134,sub-pri,a national anti- pandemic plan,This is a national anti- pandemic plan.,This is an anti-pandemic plan.,entailment
135,sub-int,some big European institutional investors,They are some big European institutional investors.,They are some European institutional investors.,entailment
136,int-pri,a Russian unofficial trade,This is a Russian unofficial trade.,This is a Russian trade.,entailment
137,int-pri,a single 18-karat gold earring,This is a single 18-karat gold earring.,This is an 18-karat gold earring.,entailment
138,sub-int,big pink peonies,Those are big pink peonies.,Those are big peonies.,entailment
139,int-int,the real genuine truth,This is the real genuine truth.,This is the real truth.,entailment
140,sub-int,a good full breakfast,This is a good full breakfast.,This is a full breakfast.,entailment
141,sub-int,a famous American painter,She is a famous American painter.,She is a painter.,entailment
142,sub-int,the big red button,This is the big red button.,This is the button.,entailment
143,sub-int,regional religious conflicts,These are regional religious conflicts.,These are regional conflicts.,entailment
144,sub-pri,the city's first so-called greenfield plant,This is the city's first so-called greenfield plant.,This is a so-called greenfield plant.,entailment
145,pri-sub,the seeming easy access,This is the seeming easy access.,This is the seeming access.,entailment
146,pri-sub,its plastic little human,This is its plastic little human.,This is its plastic human.,entailment
147,int-sub,a Western top official,He is a Western top official.,He is a Western official.,entailment
148,sub-int,a famous American painter,She is a famous American painter.,She is a famous painter.,entailment
149,sub-pri,many mistaken witnesses,They are many mistaken witnesses.,They are mistaken witnesses.,entailment
150,pri-int,an expected financial surge,This is an expected financial surge.,This is an expected surge.,entailment
151,sub-int,plain American common sense,This is plain American common sense.,This is American common sense.,entailment
152,int-sub,a Swedish top diplomat,She is a Swedish top diplomat.,She is a Swedish diplomat.,entailment
153,sub-pri,national experimental projects,These are national experimental projects.,These are experimental projects.,entailment
154,sub-int,its fourth democratic election,This is its fourth democratic election.,This is its election.,entailment
155,sub-sub,a top amateur U.S. athlete,She is a top amateur U.S. athlete.,She is an amateur U.S. athlete.,entailment
156,pri-pri,a possible incorrect pilot reaction,This is a possible incorrect pilot reaction.,This is a pilot reaction.,entailment
157,pri-sub,an apparent heavy demand,This is an apparent heavy demand.,This is an apparent demand.,entailment
158,sub-int,heavy black smoke,There is heavy black smoke.,There is black smoke.,entailment
159,pri-sub,a surrogate national voice,She is a surrogate national voice.,She is a voice.,entailment
160,pri-pri,several past failed efforts,Those are several past failed efforts.,Those are several efforts.,entailment
161,sub-int,a big black ant,It is a big black ant.,It is an ant.,entailment
162,int-pri,an original virtual pet,This is an original virtual pet.,This is a virtual pet.,entailment
163,sub-sub,their first annual review,This is their first annual review.,This is their review.,entailment
164,int-pri,a single false positive,This is a single false positive.,This is a false positive.,entailment
165,sub-int,a big full backyard,This is a big full backyard.,This is a big backyard.,entailment
166,pri-pri,a plausible fake ID,This is a plausible fake ID.,This is a fake ID.,entailment
167,sub-pri,numerous spurious confessions,These are numerous spurious confessions.,These are confessions.,entailment
168,sub-int,a chief online rival,He is a chief online rival.,He is an online rival.,entailment
169,sub-pri,many supposed solutions,Those are many supposed solutions.,Those are supposed solutions.,entailment
170,pri-sub,a mock early surrender,This is a mock early surrender.,This is a mock surrender.,entailment
171,sub-int,an old German friend,She has an old German friend.,She has a German friend.,entailment
172,int-sub,a Swedish permanent representative,He is a Swedish permanent representative.,He is a Swedish representative.,entailment
173,int-sub,a Western Australian junior player,She is a Western Australian junior player.,She is an Australian junior player.,entailment
174,pri-pri,an expected imminent attack,This is an expected imminent attack.,This is an expected attack.,entailment
175,pri-pri,mock wooden machineguns,Those are mock wooden machine guns.,Those are mock machine guns.,entailment
176,int-pri,Chinese counterfeit goods,These are Chinese counterfeit goods.,These are counterfeit goods.,entailment
177,pri-int,a virtual private network service,This is a virtual private network service.,This is a network service.,entailment
178,sub-int,a young American girl,She is a young American girl.,She is a young girl.,entailment
179,pri-sub,an artificial left leg,This is an artificial left leg.,This is an artificial leg.,entailment
180,pri-pri,an experimental temporary dwellings,This is an experimental temporary dwelling.,This is an experimental dwelling.,entailment
181,sub-sub,a known habitual liar,She is a known habitual liar.,She is a habitual liar.,entailment
182,sub-pri,a big fake gun,This is a big fake gun.,This is a fake gun.,entailment
183,sub-sub,a feverish young boy,He is a feverish young boy.,He is a young boy.,entailment
184,sub-int,a chief internal investigator,This is a chief internal investigator.,This is an internal investigator.,entailment
185,sub-int,a chief online rival,This is a chief online rival.,This is an online rival.,entailment
186,sub-int,bright blue eyes,She has bright blue eyes.,She has bright eyes.,entailment
187,int-pri,a French figurative painter,She is a French figurative painter.,She is a figurative painter.,entailment
188,sub-pri,soft fake fur,This is soft fake fur.,This is fake fur.,entailment
189,int-sub,a Swedish top diplomat,She is a Swedish top diplomat.,She is a diplomat.,entailment
190,sub-int,a bottle of old red wine,This is a bottle of old red wine.,This is a bottle of old wine.,entailment
191,sub-int,their first real test,This is their first real test.,This is a test.,entailment
192,pri-sub,an unlikely late bid,This is an unlikely late bid.,This is a bid.,entailment
193,sub-pri,high initial expectations,These are high initial expectations.,These are expectations.,entailment
194,sub-int,an alternative scientific theory,This is an alternative scientific theory.,This is a scientific theory.,entailment
195,sub-pri,a maximum nominal amount,This is a maximum nominal amount.,This is a nominal amount.,entailment
196,int-sub,a Swedish central statistics agency,This is a Swedish central statistics agency.,This is a Swedish statistics agency.,entailment
197,pri-sub,a substitute long snapper,This is a substitute long snapper.,This is a substitute snapper.,entailment
198,sub-sub,his first big gamble,This is his first big gamble.,This is a big gamble.,entailment
199,sub-pri,a national historic monument,This is a national historic monument.,This is a historic monument.,entailment
200,sub-sub,a tall young man,He is a tall young man.,He is a young man.,entailment
201,pri-pri,a wooden toy train,This is a wooden toy train.,This is a toy train.,entailment
202,sub-pri,numerous false assumptions,These are numerous false assumptions.,These are false assumptions.,entailment
203,pri-sub,a fictional common ancestor,She is a fictional common ancestor.,She is a fictional ancestor.,entailment
204,pri-sub,a sham national convention,This is a sham national convention.,This is a sham convention.,entailment
205,int-pri,a single artificial white rose,This is a single artificial white rose.,This is an artificial white rose.,entailment
206,pri-sub,a phony western gunfight,This is a phony western gunfight.,This is a phony gunfight.,entailment
207,sub-int,a short black beard,He has a short black beard.,He has a black beard.,entailment
208,pri-sub,an arrogant former young genius,He is an arrogant former young genius.,He is an arrogant former genius.,entailment
209,sub-sub,new preferred stock,This is new preferred stock.,This is new stock.,entailment
210,sub-pri,a good initial impression,This is a good initial impression.,This is an initial impression.,entailment
211,pri-sub,virtual domestic Olympics,These are virtual domestic Olympics.,These are virtual Olympics.,entailment
212,pri-int,a released male prisoner,He is a released male prisoner.,He is a released prisoner.,entailment
213,sub-pri,many failed ideas,Those are many failed ideas.,Those are many ideas.,entailment
214,sub-sub,wide professional use,This is wide professional use.,This is professional use.,entailment
215,sub-int,a key local industry,This is a key local industry.,This is a local industry.,entailment
216,pri-int,false direct evidence,This is false direct evidence.,This is false evidence.,entailment
217,sub-pri,a famous former actor,He is a famous former actor.,He is a former actor.,entailment
218,sub-pri,a big fake painting,This is a big fake painting.,This is a fake painting.,entailment
219,sub-sub,the only big losers,They are the only big losers.,They are big losers.,entailment
220,sub-pri,new potential customers,They are new potential customers.,They are potential customers.,entailment
221,pri-sub,the group's alleged earlier violation,This is the group's alleged earlier violation.,This is the group's alleged violation.,entailment
222,pri-sub,a plausible big idea,This is a plausible big idea.,This is an idea.,entailment
223,sub-pri,a national rubber producer,This is a national rubber producer.,This is a producer.,entailment
224,int-pri,a Russian alleged arms dealer,He is a Russian alleged arms dealer.,He is an alleged arms dealer.,entailment
225,sub-sub,my new best friend,She is my new best friend.,She is my best friend.,entailment
226,sub-sub,a small quiet crowd,This is a small quiet crowd.,This is a crowd.,entailment
227,int-pri,a French figurative painter,She is a French figurative painter.,She is a French painter.,entailment
228,sub-sub,big national laboratories,These are big national laboratories.,These are big laboratories.,entailment
229,sub-pri,numerous mistaken interpretations,Those are numerous mistaken interpretations.,Those are mistaken interpretations.,entailment
230,sub-int,two recent natural disasters,Those are two recent natural disasters.,Those are two disasters.,entailment
231,pri-sub,a retired northern general,He is a retired northern general.,He is a retired general.,entailment
232,pri-int,a fake rhinestone diamond,This is a fake rhinestone diamond.,This is a fake diamond.,entailment
233,sub-pri,a national honorary society,This is a national honorary society.,This is a society.,entailment
234,pri-sub,the previous presidential nominee,He is the previous presidential nominee.,He is the previous nominee.,entailment
235,sub-sub,a powerful first shot,This is a powerful first shot.,This is the first shot.,entailment
236,sub-int,clear blue eyes,He has clear blue eyes.,He has blue eyes.,entailment
237,sub-int,a bad American showman,This is a bad American showman.,This is an American showman.,entailment
238,pri-sub,a partial global population collapse,This is a partial global population collapse.,This is a partial population collapse.,entailment
239,pri-sub,a retired federal lawyer,She is a retired federal lawyer.,She is a retired lawyer.,entailment
240,pri-sub,a substitute long snapper,This is a substitute long snapper.,This is a long snapper.,entailment
241,pri-sub,broken presidential promises,These are broken presidential promises.,These are promises.,entailment
242,pri-sub,a disputed parliamentary election result,This is a disputed parliamentary election result.,This is a parliamentary election result.,entailment
243,int-sub,a real good workout,This is a real good workout.,This is a workout.,entailment
244,sub-int,a small black book,This is a small black book.,This is a black book.,entailment
245,sub-pri,a recent unsuccessful coup,This is a recent unsuccessful coup.,This is a coup.,entailment
246,pri-sub,a fictitious high school,This is a fictitious high school.,This is a fictitious school.,entailment
247,pri-sub,the supposed good guys,They are the supposed good guys.,They are the guys.,entailment
248,sub-int,a good full breakfast,This is a good full breakfast.,This is a good breakfast.,entailment
249,int-sub,an extinct ancient animal,This is an extinct ancient animal.,This is an ancient animal.,entailment
250,sub-sub,a new regional contract,This is a new regional contract.,This is a regional contract.,entailment
251,sub-int,the fourth democratic parliament,This is the fourth democratic parliament.,This is the democratic parliament.,entailment
252,sub-int,a top environmental concern,This is a top environmental concern.,This is a concern.,entailment
253,pri-sub,an allegedly fraudulent national election,This is an allegedly fraudulent national election.,This is an allegedly fraudulent election.,entailment
254,sub-int,recent natural disasters,Those are recent natural disasters.,Those are disasters.,entailment
255,sub-int,regional religious conflicts,These are regional religious conflicts.,These are religious conflicts.,entailment
256,sub-sub,their first professional position,This is their first professional position.,This is their professional position.,entailment
257,sub-pri,a national surrogate speaker,She is a national surrogate speaker.,She is a speaker.,entailment
258,pri-sub,an unofficial early result,This is an unofficial early result.,This is an early result.,entailment
259,int-sub,an original hard copy,This is an original hard copy.,This is an original copy.,entailment
260,sub-pri,a long stone bridge,This is a long stone bridge.,This is a bridge.,entailment
261,pri-sub,a past southern area,This is a past southern area.,This is an area.,entailment
262,sub-int,a small black book,This is a small black book.,This is a small book.,entailment
263,int-int,an American black woman,This is an American black woman.,This is a black woman.,entailment
264,pri-int,an alleged racial discrimination,This is an alleged racial discrimination.,This is an alleged discrimination.,entailment
265,sub-int,a popular vocal quartet,They are a popular vocal quartet.,They are a quartet.,entailment
266,sub-sub,an old familiar friend,She is an old familiar friend.,She is a familiar friend.,entailment
267,sub-sub,a handsome young president,He is a handsome young president.,He is a handsome president.,entailment
268,pri-sub,a broken front door lock,This is a broken front door lock.,This is a front door lock.,entailment
269,sub-pri,high initial expectations,These are high initial expectations.,These are initial expectations.,entailment
270,int-pri,French historic monuments,Those are French historic monuments.,Those are French monuments.,entailment
271,sub-sub,a powerful new microprocessor chip,This is a powerful new microprocessor chip.,This is a microprocessor chip.,entailment
272,sub-pri,his numerous unsuccessful marriages,Those are his numerous unsuccessful marriages.,Those are his unsuccessful marriages.,entailment
273,sub-pri,numerous wrong turns,There are numerous wrong turns.,There are wrong turns.,entailment
274,sub-int,an alternative scientific theory,This is an alternative scientific theory.,This is an alternative theory.,entailment
275,pri-sub,an allegedly fraudulent national election,This is an allegedly fraudulent national election.,This is an allegedly fraudulent election.,entailment
276,pri-pri,several past failed efforts,Those are several past failed efforts.,Those are several past efforts.,entailment
277,pri-sub,a forged diplomatic passport,He has a forged diplomatic passport.,He has a forged passport.,entailment
278,sub-int,an early evening flight,This is an early evening flight.,This is an evening flight.,entailment
279,pri-sub,an unofficial amateur event,This is an unofficial amateur event.,This is an amateur event.,entailment
280,pri-pri,a gold plastic raspberry,This is a gold plastic raspberry.,This is a plastic raspberry.,entailment
281,sub-pri,numerous previous research efforts,Those are numerous previous research efforts.,Those are numerous research efforts.,entailment
282,int-pri,a French figurative painter,She is a French figurative painter.,She is a painter.,entailment
283,sub-int,an attractive blond girl,She is an attractive blond girl.,She is a blond girl.,entailment
284,sub-sub,a powerful first shot,This is a powerful first shot.,This is a powerful shot.,entailment
285,pri-pri,an imminent historic enlargement,This is an imminent historic enlargement.,This is an imminent enlargement.,entailment
286,sub-sub,good young players,They are good young players.,They are young players.,entailment
287,sub-pri,a big toy gun,This is a big toy gun.,This is a toy gun.,entailment
288,int-sub,a Swedish permanent representative,He is a Swedish permanent representative.,He is a representative.,entailment
289,pri-pri,a new artificial rubber turf,This is a new artificial rubber turf.,This is a new artificial turf.,entailment
290,int-sub,a dead dangerous animal,This is a dead dangerous animal.,This is an animal.,entailment
291,int-int,an American black woman,This is an American black woman.,This is an American woman.,entailment
292,pri-sub,the supposed traditional wisdom,It is the supposed traditional wisdom.,It is the supposed wisdom.,entailment
293,int-pri,a single previous agreement,This is a single previous agreement.,This is a previous agreement.,entailment
294,sub-int,heavy black smoke,There is heavy black smoke.,There is heavy smoke.,entailment
295,int-sub,a dead dangerous animal,This is a dead dangerous animal.,This is a dead animal.,entailment
296,int-pri,A single wooden chair,This is A single wooden chair.,This is A single chair.,entailment
297,sub-int,an attractive beginner golfer,He is an attractive beginner golfer.,He is an attractive golfer.,entailment
298,sub-sub,his first big chance,This is his first big chance.,This is his big chance.,entailment
299,sub-pri,the only possible candidate,He is the only possible candidate.,He is a candidate.,entailment
300,sub-pri,the only possible candidate,He is the only possible candidate.,He is a possible candidate.,entailment
301,sub-sub,a big dumb idiot,He is a big dumb idiot.,He is a dumb idiot.,entailment
302,pri-sub,a counterfeit modern bill,This is a counterfeit modern bill.,This is a counterfeit bill.,entailment
303,sub-int,a small black skullcap,This is a small black skullcap.,This is a skullcap.,entailment
304,pri-sub,previous similar findings,Those are previous similar findings.,Those are previous findings.,entailment
305,int-int,fragrant red roses,Those are fragrant red roses.,Those are fragrant roses.,entailment
306,sub-int,big green containers,These are big green containers.,These are big containers.,entailment
307,pri-sub,probable severe punishment,This is probable severe punishment.,This is probable punishment.,entailment
308,pri-pri,the initial unofficial trading,This is the initial unofficial trading.,This is unofficial trading.,entailment
309,sub-int,a recent financial crisis,This is a recent financial crisis.,This is a recent crisis.,entailment
310,sub-sub,its first national ad campaign,This is its first national ad campaign.,This is an ad campaign.,entailment
311,pri-pri,a retired naval admiral,He is a retired naval admiral.,He is a retired admiral.,entailment
312,sub-sub,my new best friend,She is my new best friend.,She is my friend.,entailment
313,int-sub,Western soft coals,This is Western soft coals.,This is Western coals.,entailment
314,sub-int,a popular female singer,She is a popular female singer.,She is a singer.,entailment
315,sub-int,a narrow American strategy,This is a narrow American strategy.,This is a strategy.,entailment
316,pri-pri,her onetime would-be mentor,He is her onetime would-be mentor.,He is her would-be mentor.,entailment
317,pri-sub,a virtual extra member,He is a virtual extra member.,He is a virtual member.,entailment
318,sub-pri,a national anti-government protest,This is a national anti-government protest.,This is an anti-government protest.,entailment
319,sub-pri,a sweet empty dream,This is a sweet empty dream.,This is a dream.,entailment
320,pri-int,a former Australian owner,She is a former Australian owner.,She is a former owner.,entailment
321,pri-sub,an improbable eighth win,This is an improbable eighth win.,This is an improbable win.,entailment
322,sub-int,the deep blue sky,This is the deep blue sky.,This is the sky.,entailment
323,sub-pri,a pitiful broken promise,This is a pitiful broken promise.,This is a broken promise.,entailment
324,sub-sub,a powerful new microprocessor chip,This is a powerful new microprocessor chip.,This is a new microprocessor chip.,entailment
325,int-pri,a natural next question,This is a natural next question.,This is a question.,entailment
326,sub-int,their spiffy new blue uniforms,Those are their spiffy new blue uniforms.,Those are their spiffy new uniforms.,entailment
327,pri-sub,a onetime domestic policy adviser,He is a onetime domestic policy adviser.,He is a onetime policy adviser.,entailment
328,sub-pri,low initial ratings,These are low initial ratings.,These are initial ratings.,entailment
329,pri-sub,a supposed corrupt federal official,He is a supposed corrupt federal official.,He is a supposed corrupt official.,entailment
330,sub-int,his second full day,This is his second full day.,This is a day.,entailment
331,sub-sub,a new national ideology,This is a new national ideology.,This is a national ideology.,entailment
332,sub-int,the company's only real problem,This is the company's only real problem.,This is the company's real problem.,entailment
333,sub-pri,a national counterfeit industry,This is a national counterfeit industry.,This is a national industry.,entailment
334,sub-sub,Quebecor's second big printing acquisition,This is Quebecor's second big printing acquisition.,This is a printing acquisition.,entailment
335,pri-sub,two burned technical vehicles,These are two burned technical vehicles.,These are two technical vehicles.,entailment
336,sub-int,a big open secret,This is a big open secret.,This is an open secret.,entailment
337,pri-sub,the predicted global economic turbulence,This is the predicted global economic turbulence.,This is the predicted economic turbulence.,entailment
338,sub-int,a big blue grass fan,This is a big bluegrass fan.,This is a bluegrass fan.,entailment
339,pri-pri,a retired super spy,He is a retired super spy.,He is a retired spy.,entailment
340,int-pri,a single false attribution,This is a single false attribution.,This is an attribution.,entailment
